"filename", "language", "Python", "Dotenv", "Ignore", "Docker", "pip requirements", "Markdown", "comment", "blank", "total"
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/.dockerignore", "Ignore", 0, 0, 2, 0, 0, 0, 2, 1, 5
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/.env", "Dotenv", 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/ARCHITECTURE.md", "Markdown", 0, 0, 0, 0, 0, 98, 0, 8, 106
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/db/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/main.py", "Python", 55, 0, 0, 0, 0, 0, 78, 13, 146
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/routes/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/routes/auth.py", "Python", 26, 0, 0, 0, 0, 0, 14, 14, 54
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/routes/context.py", "Python", 36, 0, 0, 0, 0, 0, 15, 13, 64
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/routes/push.py", "Python", 53, 0, 0, 0, 0, 0, 9, 18, 80
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/routes/query.py", "Python", 35, 0, 0, 0, 0, 0, 17, 15, 67
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/services/auth.py", "Python", 60, 0, 0, 0, 0, 0, 111, 53, 224
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/services/graph.py", "Python", 121, 0, 0, 0, 0, 0, 258, 47, 426
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/api/services/nlp.py", "Python", 62, 0, 0, 0, 0, 0, 113, 41, 216
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/deploy/api.Dockerfile", "Docker", 0, 0, 0, 12, 0, 0, 2, 8, 22
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/deploy/memgraph.Dockerfile", "Docker", 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/docs/README.md", "Markdown", 0, 0, 0, 0, 0, 153, 0, 60, 213
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/__init__.py", "Python", 1, 0, 0, 0, 0, 0, 3, 2, 6
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/cli/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/cli/context.py", "Python", 58, 0, 0, 0, 0, 0, 13, 16, 87
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/cli/login.py", "Python", 36, 0, 0, 0, 0, 0, 5, 9, 50
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/cli/main.py", "Python", 14, 0, 0, 0, 0, 0, 15, 7, 36
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/cli/push.py", "Python", 68, 0, 0, 0, 0, 0, 16, 16, 100
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/cli/query.py", "Python", 48, 0, 0, 0, 0, 0, 14, 14, 76
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/core/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/core/extractor.py", "Python", 33, 0, 0, 0, 0, 0, 22, 11, 66
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/core/ignore.py", "Python", 26, 0, 0, 0, 0, 0, 21, 8, 55
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/core/scanner.py", "Python", 45, 0, 0, 0, 0, 0, 29, 14, 88
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/graph/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/nlp/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/nlp/formatter.py", "Python", 73, 0, 0, 0, 0, 0, 15, 18, 106
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/utils/config.py", "Python", 42, 0, 0, 0, 0, 0, 57, 31, 130
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/memory_neo/utils/display.py", "Python", 33, 0, 0, 0, 0, 0, 5, 16, 54
"/Users/moustaphahoundjomacair/Documents/dev/memory-neo/requirements.txt", "pip requirements", 0, 0, 0, 0, 4, 0, 3, 2, 9
"Total", "-", 925, 8, 2, 15, 4, 251, 853, 466, 2524
